date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:06	271697/271697	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-42551%22	https://uomo-html.flexkitux.com/Demo5/index.html	C:/Users/Admin/Desktop/html/https___uomo-html.flexkitux.com_Demo5_index.html/uomo-html.flexkitux.com/Demo5/index.html	(from )
15:26:07	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Nov%202024%2008:26:29%20GMT	https://uomo-html.flexkitux.com/robots.txt		(from )
15:26:07	13917/13917	---M--	200	added ('OK')	text/css	etag:%22652bfc7f-365d%22	https://uomo-html.flexkitux.com/Demo5/css/plugins/swiper.min.css	C:/Users/Admin/Desktop/html/https___uomo-html.flexkitux.com_Demo5_index.html/uomo-html.flexkitux.com/Demo5/css/plugins/swiper.min.css	(from https://uomo-html.flexkitux.com/Demo5/index.html)
15:26:08	1744/1744	---M--	200	added ('OK')	image/png	etag:%226518e001-6d0%22	https://uomo-html.flexkitux.com/images/logo.png	C:/Users/Admin/Desktop/html/https___uomo-html.flexkitux.com_Demo5_index.html/uomo-html.flexkitux.com/images/logo.png	(from https://uomo-html.flexkitux.com/Demo5/index.html)
15:26:09	172643/172643	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-2a263%22	https://uomo-html.flexkitux.com/Demo5/shop1.html	C:/Users/Admin/Desktop/html/https___uomo-html.flexkitux.com_Demo5_index.html/uomo-html.flexkitux.com/Demo5/shop1.html	(from https://uomo-html.flexkitux.com/Demo5/index.html)
15:26:10	157880/157880	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-268b8%22	https://uomo-html.flexkitux.com/Demo5/shop2.html	C:/Users/Admin/Desktop/html/https___uomo-html.flexkitux.com_Demo5_index.html/uomo-html.flexkitux.com/Demo5/shop2.html	(from https://uomo-html.flexkitux.com/Demo5/index.html)
15:26:10	160423/160423	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-272a7%22	https://uomo-html.flexkitux.com/Demo5/shop3.html	C:/Users/Admin/Desktop/html/https___uomo-html.flexkitux.com_Demo5_index.html/uomo-html.flexkitux.com/Demo5/shop3.html	(from https://uomo-html.flexkitux.com/Demo5/index.html)
15:26:11	159361/159361	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-26e81%22	https://uomo-html.flexkitux.com/Demo5/shop4.html	C:/Users/Admin/Desktop/html/https___uomo-html.flexkitux.com_Demo5_index.html/uomo-html.flexkitux.com/Demo5/shop4.html	(from https://uomo-html.flexkitux.com/Demo5/index.html)
15:26:11	148821/148821	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-24555%22	https://uomo-html.flexkitux.com/Demo5/shop5.html	C:/Users/Admin/Desktop/html/https___uomo-html.flexkitux.com_Demo5_index.html/uomo-html.flexkitux.com/Demo5/shop5.html	(from https://uomo-html.flexkitux.com/Demo5/index.html)
15:26:11	170454/170454	---MCZ	200	added ('OK')	text/html	etag:W/%2265e62cb0-299d6%22	https://uomo-html.flexkitux.com/Demo5/shop6.html	C:/Users/Admin/Desktop/html/https___uomo-html.flexkitux.com_Demo5_index.html/uomo-html.flexkitux.com/Demo5/shop6.html	(from https://uomo-html.flexkitux.com/Demo5/index.html)
